atom_1,atom_2,pair,count,r2_avg,r2,min_distance,max_distance,r2_avg_ratio,r2_ratio
C5,C4,A-C,47,0.185,0.197,5.4399999999999995,8.08,0.0,0.0
C2,C2',A-A,114,0.107,0.197,7.025,9.85,0.002,0.145
C6,P,A-C,47,0.35,0.197,8.44,11.71,0.01,0.001
O4',C5',C-A,47,0.081,0.197,13.12,16.0,0.023,0.001
C1',O1P,C-A,47,0.032,0.197,12.336666666666666,17.49,0.053,0.003
N7,O5',A-C,47,0.28,0.196,10.246666666666666,14.39,0.172,0.021
C2,O1P,C-A,47,0.034,0.196,10.719999999999999,15.06,0.05,0.001
N1,P,C-A,47,0.044,0.196,10.76,15.13,0.044,0.001
C2,O3',A-A,114,0.178,0.196,7.8125,11.81,0.044,0.119
O3',O1P,C-C,48,0.62,0.196,16.98,19.0,0.186,0.073
N3,C2,C-A,47,0.119,0.196,3.42,8.639999999999999,0.003,0.0
C5,O2',A-C,47,0.143,0.195,5.286666666666666,12.4,0.179,0.028
N3,O5',C-A,47,0.128,0.195,9.7,11.46,0.003,0.002
C2',O1P,C-C,48,0.597,0.193,14.899999999999999,16.985,0.123,0.083
P,C8,C-A,47,0.13,0.193,11.06,15.06,0.001,0.001
O1P,C5',A-A,114,0.222,0.193,15.5125,21.025,0.248,0.102
O3',O2P,A-G,94,0.242,0.193,15.575,19.429999999999996,0.25,0.225
O2P,N7,A-A,114,0.173,0.193,8.9925,15.024999999999999,0.312,0.113
C2,N9,A-A,114,0.039,0.192,6.705,8.575,0.002,0.291
N7,O2P,A-C,47,0.38,0.192,9.86,13.038,0.0,0.0
O3',O2P,A-A,114,0.228,0.192,14.010000000000002,18.75,0.221,0.357
C5',C4,C-A,47,0.074,0.192,10.603333333333333,12.52,0.044,0.004
O1P,C8,C-A,47,0.133,0.192,11.7,16.34,0.0,0.003
N1,C8,A-G,94,0.241,0.192,5.715714285714285,8.35,0.222,0.187
C2',C2',A-C,47,0.4,0.191,10.14,12.17,0.178,0.025
C6,O3',A-C,47,0.163,0.191,6.6066666666666665,12.1,0.167,0.023
C2,N3,C-A,47,0.194,0.191,5.36,8.09,0.012,0.006
O3',C8,A-G,94,0.217,0.191,11.46,15.1,0.208,0.195
P,C5',C-A,47,0.143,0.19,14.12,18.85,0.001,0.002
N1,C5',C-A,47,0.095,0.19,11.4,13.83,0.014,0.0
C4,C1',A-C,47,0.227,0.189,7.486666666666667,9.9,0.329,0.051
C2,O3',A-C,47,0.204,0.189,7.6433333333333335,10.43,0.322,0.06
C3',N7,A-A,114,0.168,0.189,8.290000000000001,13.24,0.181,0.346
C2,C5',A-C,47,0.42,0.189,8.65,10.32,0.045,0.011
N9,N7,A-A,114,0.148,0.189,6.415,10.74,0.194,0.341
C4,N1,C-A,47,0.102,0.189,3.54,8.636666666666665,0.004,0.0
O3',O4',A-C,47,0.27,0.188,11.27,14.74,0.001,0.0
C5',C2',C-A,47,0.182,0.188,11.69,14.66,0.007,0.005
C5',C1',A-A,114,0.193,0.187,11.719999999999999,16.65,0.132,0.1
C4,O5',C-A,47,0.261,0.187,9.18,12.465,0.043,0.024
O4',N3,A-A,114,0.196,0.187,8.275,12.05,0.094,0.101
C4,C2',A-C,47,0.167,0.187,7.123333333333332,10.56,0.296,0.053
O1P,N7,C-A,47,0.124,0.186,11.17,15.51,0.004,0.001
C1',N1,A-A,114,0.175,0.185,6.8149999999999995,8.79,0.064,0.325
C4',N7,A-G,94,0.255,0.185,10.86,13.706666666666665,0.245,0.186
O1P,O2P,C-A,47,0.133,0.184,15.853333333333333,20.35,0.006,0.0
O2',O4',C-C,48,0.781,0.184,10.375,13.185,0.14,0.036
C5',C8,C-A,47,0.049,0.184,11.28,14.6,0.055,0.003
C4',C5',C-A,47,0.054,0.184,13.916666666666666,17.17,0.045,0.003
N7,C6,A-C,47,0.389,0.184,7.986666666666667,10.13,0.129,0.005
