atom_1,atom_2,pair,count,r2_avg,r2,min_distance,max_distance,r2_avg_ratio,r2_ratio
O2',C5',C-A,47,0.002,0.081,11.353333333333333,16.36,0.166,0.02
O4',O2',C-A,47,0.158,0.081,9.22,12.98,0.046,0.027
O2',O2',C-C,48,0.671,0.08,8.905000000000001,12.72,0.151,0.0
C4',N3,C-C,48,0.473,0.08,8.879999999999999,9.927499999999998,0.001,0.046
O4',C2,C-C,48,0.794,0.08,8.415,9.940000000000001,0.002,0.007
O3',O5',A-C,47,0.163,0.08,13.08,17.24,0.002,0.001
N3,P,C-C,48,0.283,0.08,10.16,11.7225,0.003,0.059
O4',C3',A-A,114,0.18,0.08,11.29,16.240000000000002,0.1,0.022
O3',O2',C-A,47,0.048,0.08,11.25,14.3,0.019,0.0
O3',C2',C-A,47,0.005,0.08,11.923333333333332,14.44,0.131,0.015
O4',O4',C-C,48,0.872,0.079,11.605,13.49,0.083,0.0
C2,C4',C-A,47,0.085,0.079,9.04,11.21,0.0,0.003
O3',O3',C-C,48,0.625,0.079,13.73,16.42,0.299,0.0
O5',C5,A-A,114,0.223,0.079,8.98,13.3925,0.295,0.017
N4,O2P,C-A,47,0.122,0.079,9.459999999999999,11.655000000000001,0.0,0.002
C1',C6,C-C,48,0.895,0.078,9.3775,10.530000000000001,0.012,0.021
C3',N3,C-C,48,0.295,0.078,8.32,9.535,0.001,0.053
C1',O3',C-A,47,0.074,0.078,10.46,13.44,0.005,0.002
C8,C5',A-A,114,0.17,0.078,9.6775,15.46,0.19,0.023
C2',C5,C-C,48,0.807,0.078,9.455,10.405000000000001,0.009,0.054
N1,O1P,A-C,47,0.191,0.078,7.5,11.94,0.001,0.002
C2',C4,C-C,48,0.442,0.078,8.175,8.99,0.016,0.074
N6,N7,A-A,114,0.016,0.077,5.785,8.0425,0.061,0.063
O2',C4',C-A,47,0.003,0.077,10.746666666666668,14.95,0.18,0.021
C4,C5',C-A,47,0.172,0.077,8.75,12.530000000000001,0.051,0.032
C3',N1,A-C,47,0.182,0.077,9.16,11.76,0.001,0.001
N1,O2P,C-C,48,0.285,0.077,11.91,13.2175,0.0,0.077
C3',C6,A-G,94,0.062,0.077,8.045,10.97,0.067,0.082
N9,O1P,A-A,114,0.224,0.076,12.127500000000001,16.87,0.258,0.205
O4',N3,C-C,48,0.56,0.076,7.87,9.04,0.033,0.038
O3',C8,C-A,47,0.004,0.076,9.666666666666666,14.66,0.156,0.016
N3,C5',A-A,114,0.238,0.075,9.495000000000001,13.82,0.132,0.209
C1',C1',C-C,48,0.861,0.075,8.95,11.06,0.051,0.0
O3',N9,C-A,47,0.005,0.075,9.866666666666667,13.81,0.192,0.023
C5',O6,A-G,94,0.138,0.075,9.4,11.696666666666667,0.158,0.079
C4',O1P,A-A,114,0.222,0.075,15.03,19.87,0.226,0.2
C4',C1',C-C,48,0.803,0.075,11.157499999999999,13.225000000000001,0.114,0.0
O2',C4',A-C,47,0.163,0.075,10.41,13.82,0.015,0.014
C5',N6,A-A,114,0.21,0.075,7.68,12.735,0.279,0.207
C1',O1P,A-C,47,0.156,0.074,11.47,17.03,0.01,0.012
O2P,C5,C-A,47,0.151,0.074,8.48,11.9725,0.009,0.001
O2P,C1',C-A,47,0.173,0.074,9.5,15.37,0.045,0.014
C1',N4,A-C,47,0.008,0.073,4.21,11.983333333333333,0.131,0.043
C1',P,A-C,47,0.138,0.073,10.57,15.77,0.016,0.012
C6,N7,C-A,47,0.001,0.073,7.986666666666667,10.13,0.129,0.005
C3',O2P,A-C,47,0.14,0.073,11.08,16.633333333333336,0.036,0.01
O4',O1P,A-A,114,0.215,0.073,14.094999999999999,19.0,0.24,0.198
O4',O2P,C-C,48,0.341,0.073,14.17,15.39,0.01,0.065
C5',O1P,C-C,48,0.3,0.073,17.8,19.205000000000002,0.033,0.037
N3,N9,C-A,47,0.035,0.073,6.68,8.523333333333332,0.0,0.0
N9,N1,A-G,94,0.151,0.073,5.135,8.78,0.184,0.083
N9,O4',A-A,114,0.175,0.072,9.15,13.715,0.147,0.017
C1',C8,C-A,47,0.005,0.072,7.853333333333334,12.07,0.163,0.018
C4',O2P,C-C,48,0.27,0.072,15.25,16.59,0.018,0.064
N1,N9,A-G,94,0.098,0.072,5.56,8.01,0.112,0.083
C3',C3',C-C,48,0.631,0.072,12.24,14.25,0.194,0.0
C5',P,C-C,48,0.254,0.072,16.57,17.94,0.025,0.04
C2',C2',C-C,48,0.654,0.071,9.33,11.93,0.12,0.0
C5',N6,C-A,47,0.001,0.071,7.13,11.66,0.127,0.013
O1P,N1,C-A,47,0.097,0.071,7.5,11.94,0.001,0.002
C6,P,C-C,48,0.309,0.071,12.74,13.835,0.002,0.059
O5',C5',C-A,47,0.013,0.071,15.05,18.53,0.052,0.009
N9,O2P,A-C,47,0.145,0.071,9.16,14.004999999999999,0.03,0.007
O3',O1P,A-C,47,0.166,0.07,13.54,19.4,0.011,0.01
O4',C5,C-A,47,0.004,0.07,7.433333333333334,11.15,0.175,0.02
C4,C5,A-C,47,0.007,0.07,5.49,10.03,0.071,0.019
N3,C6,A-C,47,0.012,0.07,5.52,9.973333333333334,0.048,0.008
N1,C8,C-A,47,0.004,0.07,7.973333333333334,10.74,0.179,0.014
O5',C6,A-A,114,0.243,0.07,7.99,12.335,0.315,0.011
C4,O4',A-A,114,0.197,0.07,8.57,12.435,0.152,0.013
C2',C5',A-A,114,0.192,0.07,12.105,17.145,0.1,0.189
C4',C2,A-A,114,0.226,0.07,7.99,11.66,0.097,0.014
C6,O1P,C-C,48,0.333,0.07,13.965,15.14,0.0,0.056
C2',O3',C-C,48,0.657,0.069,11.545,14.149999999999999,0.219,0.0
C5',N1,C-A,47,0.0,0.069,8.36,10.27,0.203,0.029
C2,C5',A-A,114,0.253,0.069,8.56,12.545,0.139,0.198
O2',N9,A-G,94,0.032,0.069,8.075,13.08,0.018,0.06
N4,N7,C-A,47,0.016,0.069,5.75,8.413333333333334,0.013,0.004
O2',N4,C-C,48,0.1,0.069,9.07,9.52,0.004,0.086
O4',C4',C-C,48,0.81,0.068,12.4625,14.399999999999999,0.125,0.001
C4',C3',C-C,48,0.699,0.068,12.7225,14.75,0.177,0.001
C1',C3',C-C,48,0.741,0.068,10.4925,12.55,0.123,0.0
C5',N9,A-A,114,0.196,0.068,10.61,15.445,0.168,0.013
O2',C2',A-A,114,0.119,0.068,9.42,14.96,0.008,0.16
C2',N4,A-C,47,0.005,0.067,3.88,12.969999999999999,0.128,0.041
O2,C5',C-A,47,0.002,0.067,9.606666666666667,12.52,0.18,0.021
N3,O1P,C-C,48,0.267,0.067,11.399999999999999,13.015,0.0,0.049
C3',O2',C-A,47,0.09,0.067,10.01,13.17,0.001,0.005
O2',N3,A-C,47,0.005,0.066,4.75,12.12,0.112,0.041
O2',O4',C-A,47,0.013,0.066,9.69,14.13,0.194,0.023
O2P,C2',C-A,47,0.174,0.066,9.56,16.14,0.054,0.018
O3',C4,C-C,48,0.268,0.066,10.205,10.89,0.0,0.064
N1,C5',C-C,48,0.752,0.066,11.84,12.805,0.074,0.001
N4,C6,C-C,48,0.092,0.066,6.0649999999999995,7.68,0.392,0.036
N4,C2,C-A,47,0.001,0.066,3.26,10.933333333333335,0.115,0.014
C3',N7,C-A,47,0.006,0.066,7.983333333333333,13.05,0.151,0.016
N1,N1,A-C,47,0.062,0.066,4.6,7.45,0.252,0.087
C4',C6,C-C,48,0.872,0.066,11.535,12.535,0.05,0.013
N3,N9,A-G,94,0.077,0.065,6.984999999999999,9.42,0.059,0.06
C5,C8,C-A,47,0.137,0.065,7.57,9.965,0.025,0.026
C6,N1,A-A,114,0.172,0.065,3.5250000000000004,8.030000000000001,0.251,0.158
C1',N9,C-A,47,0.006,0.065,8.410000000000002,11.12,0.209,0.024
C3',O2,A-C,47,0.237,0.065,8.97,10.44,0.301,0.045
C1',O5',A-C,47,0.132,0.065,11.56,15.03,0.014,0.002
N9,C8,A-A,114,0.145,0.064,6.8725000000000005,11.555,0.169,0.166
N6,N1,A-C,47,0.038,0.064,4.489999999999999,9.72,0.247,0.052
P,O2',C-A,47,0.145,0.064,10.27,16.823333333333334,0.047,0.032
O3',N7,C-A,47,0.007,0.064,8.520000000000001,14.17,0.146,0.015
O4',C2,A-C,47,0.184,0.064,8.84,10.39,0.005,0.001
C6,C2,C-A,47,0.001,0.064,5.23,9.22,0.025,0.001
C6,O2P,A-C,47,0.177,0.063,7.73,10.766666666666666,0.004,0.0
O1P,O2',C-A,47,0.132,0.062,11.41,17.8,0.034,0.03
C2',C2,A-A,114,0.107,0.062,7.025,9.85,0.002,0.145
N4,C3',C-C,48,0.09,0.061,8.805,9.75,0.21,0.06
N1,C3',C-A,47,0.094,0.061,9.16,11.76,0.001,0.001
C2',O3',C-A,47,0.018,0.061,11.34,14.28,0.075,0.017
C2',C3',C-A,47,0.0,0.06,11.056666666666667,13.66,0.175,0.029
C4',O2,C-C,48,0.644,0.06,8.6025,10.66,0.039,0.002
C1',C4,C-C,48,0.396,0.06,7.655,8.48,0.112,0.056
O5',C4',C-A,47,0.026,0.06,13.61,17.28,0.016,0.002
C4,C2,A-C,47,0.064,0.06,5.89,7.56,0.258,0.055
C5,C5,A-C,47,0.006,0.059,6.44,8.673333333333334,0.009,0.003
N3,O5',C-C,48,0.387,0.059,9.165,10.855,0.007,0.025
N4,C2',C-C,48,0.006,0.058,8.05,8.805,0.182,0.075
C5',C2,C-A,47,0.041,0.058,8.65,10.32,0.045,0.011
O2P,C4,C-C,48,0.0,0.058,9.79,11.224999999999998,0.144,0.04
C3',O5',A-A,114,0.23,0.058,12.875,17.490000000000002,0.191,0.172
O2P,P,A-A,114,0.211,0.058,13.3175,20.556666666666665,0.372,0.007
C3',O2,C-C,48,0.534,0.058,7.9775,9.997499999999999,0.044,0.004
N4,O3',C-C,48,0.081,0.058,9.95,10.795,0.125,0.065
O3',C5,C-C,48,0.568,0.058,11.465,12.315,0.033,0.038
N4,C5,C-C,48,0.12,0.058,5.095000000000001,7.1,0.425,0.01
C5,C4',C-A,47,0.176,0.058,8.29,13.363333333333335,0.083,0.049
O2',C3',A-C,47,0.17,0.058,10.01,13.17,0.001,0.005
C8,O2P,A-A,114,0.181,0.057,9.9575,15.905000000000001,0.301,0.163
C6,C3',C-A,47,0.152,0.057,8.8,12.76,0.043,0.021
C2,O4',C-A,47,0.041,0.057,8.84,10.39,0.005,0.001
O4',C6,C-C,48,0.812,0.057,10.55,11.605,0.015,0.009
N4,C4',C-C,48,0.081,0.057,9.305,10.245,0.221,0.054
C6,N9,C-A,47,0.112,0.057,7.69,10.165,0.017,0.017
O3',O2P,A-C,47,0.122,0.057,11.49,17.846666666666668,0.041,0.012
C1',C2',C-A,47,0.045,0.057,9.22,11.39,0.013,0.001
O2P,O2',C-A,47,0.175,0.057,9.22,17.28,0.073,0.031
O2',O3',C-A,47,0.0,0.056,11.456666666666665,14.86,0.173,0.027
O2',N3,A-G,94,0.017,0.056,5.73,10.911428571428571,0.007,0.047
N1,O5',A-A,114,0.271,0.056,7.699999999999999,11.486666666666666,0.267,0.174
O4',C1',C-C,48,0.871,0.056,10.275,12.280000000000001,0.069,0.002
C4',N3,C-A,47,0.0,0.056,9.17,10.78,0.175,0.027
N1,C2,A-A,114,0.174,0.056,3.455,8.7525,0.27,0.141
N4,O2',C-C,48,0.1,0.055,9.07,9.52,0.004,0.086
C4,N1,A-A,114,0.081,0.055,5.19,7.945,0.201,0.044
C4',C6,A-G,94,0.051,0.055,8.485,11.173333333333332,0.045,0.052
C1',C4,A-C,47,0.002,0.055,5.53,11.263333333333334,0.106,0.037
C4',C8,A-A,114,0.163,0.055,9.1425,14.82,0.169,0.156
O2',C5',A-C,47,0.123,0.055,11.13,15.02,0.045,0.029
N4,N1,C-C,48,0.027,0.055,6.095000000000001,7.435,0.39,0.054
O5',C8,C-A,47,0.0,0.055,11.536666666666667,15.08,0.128,0.016
C5',C5,A-C,47,0.131,0.055,9.76,13.8,0.049,0.034
C1',N3,A-A,114,0.15,0.055,7.57,10.86,0.038,0.012
C1',O2,C-C,48,0.664,0.055,6.385,8.495000000000001,0.0,0.002
C1',C5,C-C,48,0.592,0.054,9.0,9.870000000000001,0.004,0.035
N9,C4,A-A,114,0.173,0.054,7.305,10.195,0.122,0.007
N4,O4,C-U,59,0.0,0.054,2.77,5.35,0.009,0.119
C2',C8,C-A,47,0.017,0.054,7.71,12.72,0.183,0.023
N4,C5',C-C,48,0.192,0.054,9.844999999999999,10.9775,0.203,0.029
C4',C1',A-A,114,0.18,0.054,11.07,15.835,0.104,0.008
C2',C4,A-C,47,0.001,0.054,5.13,12.203333333333333,0.107,0.035
N4,C4,C-C,48,0.088,0.054,3.8449999999999998,6.205,0.486,0.017
O3',C4,C-A,47,0.017,0.054,8.746666666666666,12.57,0.22,0.03
C4,C2,A-G,94,0.011,0.053,5.13,7.211428571428572,0.004,0.049
C3',C4,C-C,48,0.119,0.053,9.11,9.875,0.064,0.058
C6,P,A-A,114,0.232,0.053,8.35,13.254999999999999,0.323,0.17
O3',C5,C-A,47,0.014,0.053,7.833333333333333,12.81,0.17,0.021
O2',C8,C-A,47,0.018,0.053,7.203333333333333,13.66,0.168,0.022
C2',C1',C-A,47,0.011,0.053,9.530000000000001,12.09,0.24,0.03
C2',O2P,A-G,94,0.07,0.053,13.415,17.426666666666666,0.06,0.064
O2',N4,A-C,47,0.001,0.053,3.27,14.229999999999999,0.137,0.052
C4',C6,C-A,47,0.012,0.053,6.733333333333333,11.13,0.174,0.022
C1',C4,A-A,114,0.184,0.053,7.897500000000001,11.325,0.113,0.165
O2',C3',C-A,47,0.008,0.053,10.276666666666666,14.32,0.217,0.032
N4,O4',C-C,48,0.02,0.053,8.34,9.34,0.256,0.054
C4',C6,A-C,47,0.12,0.052,9.53,13.34,0.044,0.035
O4',C8,A-A,114,0.154,0.052,8.265,13.79,0.172,0.148
O3',C5',A-A,114,0.168,0.052,13.665,19.165,0.088,0.151
N6,O2,A-C,47,0.02,0.052,2.91,11.19,0.254,0.07
N4,C1',C-C,48,0.003,0.052,7.46,8.375,0.281,0.063
O2,C5',C-C,48,0.592,0.052,9.8475,11.5625,0.061,0.002
O2,C4,C-C,48,0.401,0.051,5.43,6.5,0.182,0.046
O4',C3',C-C,48,0.765,0.051,11.73,13.675,0.135,0.004
O2P,C6,C-C,48,0.058,0.051,12.055,13.212499999999999,0.046,0.057
C3',O3',C-C,48,0.646,0.051,13.015,15.325,0.258,0.003
C5',C5',C-C,48,0.459,0.051,15.79,17.105,0.146,0.0
C4,C4,C-A,47,0.001,0.051,5.23,9.443333333333333,0.058,0.01
O2P,O1P,A-A,114,0.231,0.051,14.475000000000001,21.816666666666666,0.367,0.004
N3,O2P,C-C,48,0.128,0.051,9.594999999999999,11.17,0.028,0.067
C5',O2P,A-A,114,0.213,0.051,13.7925,19.665,0.285,0.161
O2P,C5,C-C,48,0.001,0.051,11.105,12.5875,0.137,0.033
C1',N7,C-A,47,0.015,0.051,6.5566666666666675,11.69,0.167,0.021
C3',C4,C-A,47,0.017,0.05,8.530000000000001,11.43,0.249,0.034
C3',C5,C-C,48,0.496,0.05,10.42,11.204999999999998,0.002,0.037
N1,C6,C-C,48,0.652,0.05,8.295,9.295,0.027,0.01
C3',C2',C-C,48,0.648,0.05,10.79,13.125,0.16,0.003
C2',N4,C-C,48,0.006,0.05,8.05,8.805,0.182,0.075
C4',N6,C-A,47,0.011,0.05,5.646666666666667,11.62,0.146,0.018
C5,O4',C-A,47,0.166,0.05,7.72,12.495000000000001,0.088,0.054
O2',O2,A-C,47,0.006,0.05,6.69,10.166666666666666,0.03,0.011
C4',O3',C-C,48,0.701,0.05,13.407499999999999,15.754999999999999,0.231,0.006
O2P,N4,C-C,48,0.048,0.05,8.850000000000001,10.67,0.223,0.015
C4',C3',A-A,114,0.181,0.049,12.175,17.32,0.089,0.006
O2,C6,C-C,48,0.832,0.049,6.7875,8.205,0.007,0.014
O2',N7,C-A,47,0.019,0.049,6.026666666666666,13.6,0.155,0.021
O2P,C4,C-A,47,0.147,0.049,7.98,13.07,0.032,0.006
C8,C5,A-A,114,0.147,0.049,6.1899999999999995,9.9975,0.198,0.009
O5',O4',C-A,47,0.014,0.049,12.94,16.37,0.024,0.003
C4,O5',A-A,114,0.236,0.048,9.5275,13.51833333333333,0.254,0.16
O2,N4,C-C,48,0.113,0.048,5.57,6.425,0.296,0.062
O2,C5,C-C,48,0.729,0.048,6.655,7.744999999999999,0.029,0.029
C3',C5,C-A,47,0.018,0.048,7.456666666666666,11.68,0.19,0.025
C2,O4',A-C,47,0.184,0.048,7.445,8.68,0.452,0.067
O4',C4,C-C,48,0.287,0.048,8.685,9.49,0.112,0.045
C1',O3',C-C,48,0.741,0.048,11.219999999999999,13.515,0.186,0.005
C3',N4,A-C,47,0.0,0.047,5.36,13.056666666666667,0.112,0.036
O5',C8,A-A,114,0.19,0.047,9.945,15.232500000000002,0.272,0.006
O2,N3,C-C,48,0.239,0.047,4.385,5.9399999999999995,0.212,0.035
N7,O5',A-A,114,0.19,0.047,9.04,14.6525,0.296,0.005
C4',C4,C-C,48,0.209,0.047,9.675,10.36,0.069,0.048
C5,P,A-A,114,0.22,0.046,9.4,14.364999999999998,0.311,0.155
O2,N1,C-C,48,0.634,0.046,5.8275,7.59,0.022,0.005
C2',P,A-C,47,0.115,0.046,10.53,16.0,0.025,0.017
C2',O1P,A-C,47,0.133,0.046,11.56,17.31,0.016,0.015
C4',C2',C-C,48,0.718,0.046,11.2875,13.66,0.146,0.006
C6,C6,C-A,47,0.238,0.046,5.915,7.68,0.274,0.041
O2P,N3,C-C,48,0.128,0.046,9.594999999999999,11.17,0.028,0.067
O2',C4,A-C,47,0.0,0.046,4.43,13.453333333333333,0.125,0.049
N1,N1,C-C,48,0.81,0.046,7.7,8.94,0.009,0.0
C3',N3,A-A,114,0.191,0.046,8.285,12.21,0.052,0.004
O2',C1',C-A,47,0.028,0.046,8.76,12.81,0.236,0.032
N4,C2,C-C,48,0.001,0.046,5.085,6.49,0.435,0.055
N4,N3,C-C,48,0.021,0.046,3.85,5.925,0.501,0.041
N1,N3,C-C,48,0.24,0.045,5.65,7.015000000000001,0.246,0.024
N9,O2,A-C,47,0.021,0.045,6.640000000000001,9.05,0.361,0.077
O3',O2',C-C,48,0.653,0.045,11.325,14.635,0.23,0.006
C4,N3,C-A,47,0.007,0.045,4.02,10.323333333333332,0.089,0.013
C5,C2,C-A,47,0.006,0.045,4.01,10.133333333333333,0.075,0.009
O4',C6,A-C,47,0.111,0.045,9.02,12.48,0.043,0.039
O2',O2',C-A,47,0.0,0.045,10.19,12.47,0.14,0.007
C2,C5,C-A,47,0.291,0.045,5.404999999999999,8.71,0.31,0.082
O4',O2,C-C,48,0.723,0.045,7.705,9.78,0.007,0.0
O2,C6,C-A,47,0.266,0.044,3.4699999999999998,9.98,0.289,0.095
O4',N4,A-C,47,0.0,0.044,5.52,12.063333333333333,0.128,0.053
N6,N7,A-G,94,0.061,0.044,5.425714285714286,9.02,0.052,0.037
O1P,N3,C-A,47,0.099,0.044,8.51,14.04,0.012,0.008
C5',O4',C-C,48,0.743,0.044,13.727500000000001,15.09,0.137,0.003
C2',N7,C-A,47,0.022,0.044,6.473333333333334,12.36,0.17,0.023
N1,N9,C-A,47,0.0,0.044,8.48,9.85,0.132,0.009
O5',N7,C-A,47,0.006,0.044,10.246666666666666,14.39,0.172,0.021
O2',N9,C-A,47,0.031,0.043,7.41,12.62,0.209,0.031
O2',C2',A-C,47,0.166,0.043,9.21,11.96,0.004,0.0
N6,C5,A-C,47,0.04,0.043,4.605,7.38,0.152,0.031
C1',C2',C-C,48,0.758,0.042,9.072500000000002,11.42,0.086,0.006
C2',N9,C-A,47,0.032,0.042,8.13,11.76,0.248,0.036
N1,O2P,A-G,94,0.003,0.042,9.81,12.123333333333333,0.001,0.029
O2',C2,A-C,47,0.001,0.042,6.07,11.4,0.079,0.03
O3',C5,A-G,94,0.036,0.041,9.71,13.01,0.033,0.04
O2,C2',C-A,47,0.109,0.041,7.76,8.95,0.118,0.014
O4',C4',A-A,114,0.18,0.041,11.865,16.95,0.121,0.003
O3',N6,C-A,47,0.017,0.041,5.796666666666667,13.04,0.136,0.017
N4,O2,C-C,48,0.113,0.041,5.57,6.425,0.296,0.062
O2,C4',C-A,47,0.001,0.041,9.493333333333334,11.11,0.174,0.015
C5,O2,A-C,47,0.012,0.041,4.696666666666666,9.83,0.285,0.08
O2,O4',C-C,48,0.723,0.041,7.705,9.78,0.007,0.0
C5,C6,A-C,47,0.208,0.04,7.31,8.77,0.154,0.01
C1',O2P,A-C,47,0.101,0.04,9.5,15.37,0.045,0.014
N1,O4',C-C,48,0.914,0.04,9.725,11.22,0.026,0.003
N6,C5,A-G,94,0.066,0.04,4.57,8.225,0.056,0.033
N1,C1',C-A,47,0.075,0.04,8.25,10.33,0.005,0.006
N1,C1',A-C,47,0.021,0.04,5.33,8.69,0.352,0.1
O2,C2,C-C,48,0.38,0.04,4.545,6.485,0.103,0.009
O3',C6,C-A,47,0.023,0.04,6.6066666666666665,12.1,0.166,0.023
N1,O3',C-A,47,0.108,0.04,9.1,12.686666666666667,0.013,0.004
C6,O3',C-A,47,0.148,0.04,8.94,14.006666666666666,0.052,0.02
O5',C3',C-A,47,0.024,0.039,12.85,16.52,0.016,0.005
N1,P,A-C,47,0.132,0.039,7.12,10.65,0.0,0.0
N1,C4,C-C,48,0.074,0.039,6.415,7.65,0.335,0.044
C2,C5',C-C,48,0.605,0.039,10.49,11.594999999999999,0.037,0.0
N6,O2P,A-A,114,0.171,0.039,7.234999999999999,12.5825,0.329,0.133
C1',N9,A-A,114,0.167,0.039,8.5725,12.620000000000001,0.12,0.133
C4,O4,C-U,59,0.013,0.039,2.9,6.67,0.0,0.099
C4',C5,C-C,48,0.432,0.039,11.04,11.754999999999999,0.001,0.025
C2,C6,C-C,48,0.614,0.038,6.994999999999999,8.105,0.075,0.008
O4',C5,C-C,48,0.392,0.038,9.9475,10.86,0.008,0.022
C2',C2,A-G,94,0.01,0.038,5.23,9.775714285714287,0.004,0.033
O2',C2',C-A,47,0.02,0.038,9.413333333333334,12.82,0.259,0.035
C2,N9,A-G,94,0.015,0.038,6.27,8.780000000000001,0.017,0.039
C1',N4,C-C,48,0.003,0.038,7.46,8.375,0.281,0.063
O2P,N1,C-C,48,0.285,0.038,11.91,13.2175,0.0,0.077
C5',N1,C-C,48,0.752,0.037,11.84,12.805,0.074,0.001
C2,C4,C-C,48,0.092,0.037,5.234999999999999,6.685,0.377,0.04
C2',C2,C-A,47,0.306,0.037,5.914999999999999,8.65,0.418,0.122
C6,C1',C-A,47,0.133,0.037,7.67,11.530000000000001,0.057,0.033
O4',O3',C-C,48,0.761,0.037,12.4125,14.620000000000001,0.191,0.012
O3',N4,A-C,47,0.0,0.037,5.62,14.336666666666668,0.108,0.035
O3',N4,C-C,48,0.081,0.037,9.95,10.795,0.125,0.065
N4,C4,C-A,47,0.013,0.037,4.1,10.346666666666666,0.107,0.02
C2',O5',A-C,47,0.109,0.037,11.38,15.17,0.001,0.0
N3,C2,A-A,114,0.08,0.037,4.77,9.17,0.214,0.022
N1,C5,C-C,48,0.207,0.036,7.779999999999999,8.725,0.142,0.027
O2P,N6,C-A,47,0.051,0.036,8.245,10.25,0.027,0.008
O5',O3',C-A,47,0.044,0.036,13.08,17.24,0.002,0.001
C5',C4',C-C,48,0.672,0.036,14.65,16.06,0.171,0.007
C1',O2',C-A,47,0.102,0.036,8.42,11.67,0.027,0.016
C2',C2',C-A,47,0.0,0.036,10.14,12.17,0.178,0.025
O2',N6,C-A,47,0.025,0.036,3.1333333333333333,13.25,0.144,0.021
O2P,C6,C-A,47,0.11,0.036,7.73,10.766666666666666,0.004,0.0
C5',C2,C-C,48,0.605,0.035,10.49,11.595,0.037,0.0
C2,C5,C-C,48,0.282,0.035,6.555,7.65,0.19,0.026
O4',N6,C-A,47,0.023,0.035,5.036666666666666,10.69,0.175,0.024
C2',O3',A-A,114,0.143,0.035,10.795,16.545,0.028,0.004
O2',C5,C-A,47,0.033,0.035,5.286666666666666,12.4,0.178,0.028
C2,C2',A-C,47,0.022,0.035,5.914999999999999,8.65,0.418,0.122
C4,O2P,A-C,47,0.101,0.034,7.98,13.07,0.032,0.006
O5',N9,C-A,47,0.001,0.034,11.27,14.38,0.07,0.013
N1,O2,A-C,47,0.037,0.034,2.875,8.96,0.271,0.116
O3',C2,A-A,114,0.178,0.034,7.8125,11.81,0.044,0.119
C2',O4',A-A,114,0.17,0.034,10.5475,15.23,0.079,0.122
C5,O4,C-U,59,0.018,0.033,4.25,7.51,0.001,0.1
N1,N7,C-A,47,0.031,0.033,6.69,10.3,0.203,0.023
C2',C8,A-G,94,0.036,0.033,9.42,12.98,0.025,0.03
N3,O4,C-U,59,0.02,0.033,2.3,7.36,0.004,0.079
C4,C2',C-C,48,0.442,0.033,8.175,8.99,0.016,0.074
C6,O2P,C-C,48,0.058,0.033,12.055,13.212499999999999,0.046,0.057
N1,C2,C-C,48,0.595,0.033,6.359999999999999,7.67,0.061,0.0
C2',O2',C-A,47,0.038,0.033,9.21,11.96,0.004,0.0
O4',C6,C-A,47,0.03,0.033,6.253333333333334,10.18,0.218,0.032
C2,N4,C-C,48,0.001,0.033,5.085,6.49,0.435,0.055
C4',O5',A-A,114,0.217,0.032,13.3025,18.005000000000003,0.217,0.126
N7,N6,A-A,114,0.016,0.032,5.785,8.0425,0.061,0.063
C4,O2',C-C,48,0.826,0.032,9.04,9.92,0.065,0.087
O1P,C2,C-A,47,0.089,0.032,7.42,12.71,0.01,0.006
C6,O1P,A-A,114,0.246,0.032,9.370000000000001,14.532499999999999,0.312,0.135
C2,C3',A-A,114,0.182,0.032,7.48,10.925,0.041,0.001
N3,O2P,A-G,94,0.001,0.032,10.84,14.25,0.002,0.027
C2',O2',C-C,48,0.669,0.031,9.215,12.395,0.146,0.012
C3',N6,C-A,47,0.026,0.031,5.233333333333333,11.81,0.156,0.021
N4,N3,C-A,47,0.023,0.031,2.99,11.316666666666668,0.129,0.022
O4',C2',C-C,48,0.786,0.031,10.3375,12.605,0.106,0.014
C2,N3,C-C,48,0.139,0.031,4.4,6.16,0.326,0.02
N1,C4',C-C,48,0.856,0.031,10.68,12.149999999999999,0.069,0.007
C4,C3',C-C,48,0.119,0.031,9.11,9.875,0.064,0.058
O1P,P,A-A,114,0.241,0.031,15.355,22.174999999999997,0.36,0.0
O3',N1,A-C,47,0.111,0.031,9.1,12.686666666666667,0.013,0.004
C2',C2,A-C,47,0.0,0.031,7.03,10.173333333333334,0.019,0.005
O2,C4',C-C,48,0.644,0.03,8.602500000000001,10.66,0.039,0.002
O2',C2,A-G,94,0.048,0.03,4.76,10.447142857142856,0.065,0.038
C5,O1P,A-A,114,0.232,0.03,10.445,15.6225,0.296,0.126
O4',O5',A-A,114,0.206,0.03,12.345,16.924999999999997,0.23,0.12
N7,O2P,A-A,114,0.173,0.03,8.9925,15.024999999999999,0.312,0.113
N3,N7,C-A,47,0.253,0.03,5.67,8.61,0.262,0.049
C5',N3,C-C,48,0.261,0.03,9.725,10.8125,0.004,0.01
O1P,O1P,A-A,114,0.246,0.029,16.585,23.41333333333333,0.335,0.0
C4,C4,A-A,114,0.134,0.029,6.82,8.93,0.047,0.0
C3',N3,A-C,47,0.002,0.029,7.03,11.063333333333333,0.04,0.012
C4,O3',C-C,48,0.268,0.029,10.205,10.89,0.0,0.064
C5',C1',C-C,48,0.745,0.029,12.434999999999999,13.975,0.133,0.01
N4,N4,C-C,48,0.12,0.028,2.98,5.83,0.499,0.0
P,P,A-A,114,0.23,0.028,14.18,20.94666666666667,0.378,0.0
